116,2115,155,2115,155,2753,116,2753
161,2115,194,2115,194,2565,161,2565
238,2115,277,2115,277,2298,238,2298
327,2115,366,2115,366,2753,327,2753
366,2115,405,2115,405,2753,366,2753
399,2115,444,2115,444,2226,399,2226
449,2115,488,2115,488,2548,449,2548
488,2115,527,2115,527,2431,488,2431
532,2115,571,2115,571,2292,532,2292
694,2115,727,2115,727,2292,694,2292
943,2115,971,2115,971,2637,943,2637
1188,2115,1226,2115,1226,2576,1188,2576
1399,2115,1426,2115,1426,2143,1399,2143
1432,2115,1471,2115,1471,2748,1432,2748
1476,2115,1515,2115,1515,2748,1476,2748
566,2120,605,2120,605,2748,566,2748
1304,2137,1349,2137,1349,2664,1304,2664
1393,2154,1432,2154,1432,2453,1393,2453
72,2281,111,2281,111,2614,72,2614
399,2259,444,2259,444,2742,399,2742
521,2298,566,2298,566,2753,521,2753
238,2304,277,2304,277,2709,238,2709
488,2448,527,2448,527,2753,488,2753
1510,2503,1554,2503,1554,2748,1510,2748
161,2598,194,2598,194,2748,161,2748
77,2614,111,2614,111,2753,77,2753
860,2637,888,2637,888,2742,860,2742
777,2637,810,2637,810,2748,777,2748
1110,2659,1143,2659,1143,2748,1110,2748
444,2676,483,2676,483,2753,444,2753
699,2687,732,2687,732,2748,699,2748
816,2687,855,2687,855,2753,816,2753
